#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ANKLE2	TMPO	9606.ENSP00000350686	9606.ENSP00000266732	0	0	0	0	0.055	0.211	0.500	0.341	0.721
ANKLE2	VRK2	9606.ENSP00000350686	9606.ENSP00000408002	0	0	0	0	0.081	0.114	0.700	0.469	0.853
ANKRD37	FEM1B	9606.ENSP00000335147	9606.ENSP00000307298	0	0	0	0	0.054	0.095	0	0.698	0.719
ANKZF1	PLAA	9606.ENSP00000321617	9606.ENSP00000380460	0	0	0	0	0.054	0.109	0	0.675	0.702
ANLN	AURKA	9606.ENSP00000265748	9606.ENSP00000216911	0	0	0	0	0.541	0	0	0.459	0.741
ANLN	NCAPH	9606.ENSP00000265748	9606.ENSP00000240423	0	0	0	0	0.433	0	0	0.505	0.707
ANLN	KIF11	9606.ENSP00000265748	9606.ENSP00000260731	0	0	0	0	0.879	0	0	0.582	0.947
ANLN	MCM4	9606.ENSP00000265748	9606.ENSP00000262105	0	0	0	0	0.735	0.292	0	0.220	0.841
ANLN	CDC20	9606.ENSP00000265748	9606.ENSP00000361540	0	0	0	0	0.472	0	0	0.456	0.701
ANLN	PLK1	9606.ENSP00000265748	9606.ENSP00000300093	0	0	0	0	0.392	0	0	0.531	0.703
ANLN	TTK	9606.ENSP00000265748	9606.ENSP00000358813	0	0	0	0	0.546	0	0	0.374	0.704
ANLN	NUSAP1	9606.ENSP00000265748	9606.ENSP00000499238	0	0	0	0	0.523	0	0	0.421	0.712
ANLN	KPNA2	9606.ENSP00000265748	9606.ENSP00000438483	0	0	0	0	0.317	0.317	0	0.436	0.714
ANLN	MKI67	9606.ENSP00000265748	9606.ENSP00000357643	0	0	0	0	0.456	0.292	0	0.392	0.745
ANLN	UBE2C	9606.ENSP00000265748	9606.ENSP00000348838	0	0	0	0	0.476	0	0	0.584	0.773
ANLN	BIRC5	9606.ENSP00000265748	9606.ENSP00000301633	0	0	0	0	0.399	0.292	0	0.527	0.781
ANLN	KIF4A	9606.ENSP00000265748	9606.ENSP00000363524	0	0	0	0	0.565	0	0	0.520	0.782
ANLN	RRM2	9606.ENSP00000265748	9606.ENSP00000353770	0	0	0	0	0.420	0	0	0.645	0.785
ANLN	IQGAP3	9606.ENSP00000265748	9606.ENSP00000354451	0	0	0	0	0.244	0.486	0.400	0.225	0.795
ANLN	BUB1B	9606.ENSP00000265748	9606.ENSP00000287598	0	0	0	0	0.693	0	0	0.376	0.800
ANLN	SMC4	9606.ENSP00000265748	9606.ENSP00000341382	0	0	0	0	0.456	0.292	0	0.538	0.806
ANLN	PBK	9606.ENSP00000265748	9606.ENSP00000428489	0	0	0	0	0.696	0.052	0	0.397	0.811
ANLN	KIF14	9606.ENSP00000265748	9606.ENSP00000356319	0	0	0	0	0.550	0.292	0	0.503	0.828
ANLN	PRC1	9606.ENSP00000265748	9606.ENSP00000377793	0	0	0	0	0.724	0	0	0.442	0.839
ANLN	CENPF	9606.ENSP00000265748	9606.ENSP00000355922	0	0	0	0	0.578	0.292	0	0.515	0.842
ANLN	AURKB	9606.ENSP00000265748	9606.ENSP00000313950	0	0	0	0	0.450	0.292	0	0.636	0.846
ANLN	CD2AP	9606.ENSP00000265748	9606.ENSP00000352264	0	0	0	0	0.049	0.331	0	0.789	0.854
ANLN	TOP2A	9606.ENSP00000265748	9606.ENSP00000411532	0	0	0	0	0.613	0.292	0	0.533	0.861
ANLN	INCENP	9606.ENSP00000265748	9606.ENSP00000378295	0	0	0	0	0.699	0.292	0	0.506	0.885
ANLN	NUF2	9606.ENSP00000265748	9606.ENSP00000271452	0	0	0	0	0.809	0	0	0.482	0.897
ANLN	CIT	9606.ENSP00000265748	9606.ENSP00000376306	0	0	0	0	0.466	0.500	0.400	0.442	0.898
ANLN	ASPM	9606.ENSP00000265748	9606.ENSP00000356379	0	0	0	0	0.750	0.292	0	0.480	0.900
ANLN	TPX2	9606.ENSP00000265748	9606.ENSP00000300403	0	0	0	0	0.774	0	0	0.673	0.923
ANLN	KIF20A	9606.ENSP00000265748	9606.ENSP00000378356	0	0	0	0	0.823	0.328	0	0.607	0.949
ANLN	RACGAP1	9606.ENSP00000265748	9606.ENSP00000404190	0	0	0	0	0.607	0.416	0	0.990	0.997
ANP32A	H4C6	9606.ENSP00000417864	9606.ENSP00000244537	0	0	0	0	0.067	0.510	0	0.509	0.755
ANP32A	HMGB2	9606.ENSP00000417864	9606.ENSP00000296503	0	0	0	0	0.184	0	0	0.724	0.765
ANP32A	PTMA	9606.ENSP00000417864	9606.ENSP00000344547	0	0	0	0	0.213	0	0	0.845	0.872
ANP32A	DEK	9606.ENSP00000417864	9606.ENSP00000498653	0	0	0	0	0.170	0	0	0.658	0.704
ANP32A	ANP32E	9606.ENSP00000417864	9606.ENSP00000463154	0	0	0.062	0.954	0.067	0.699	0	0.081	0.725
ANP32E	H2BC11	9606.ENSP00000463154	9606.ENSP00000476136	0	0	0	0	0.048	0.946	0	0	0.947
AP4M1	SPP1	9606.ENSP00000403663	9606.ENSP00000378517	0	0	0	0	0	0	0	0.946	0.946
ARC	EGR1	9606.ENSP00000349022	9606.ENSP00000239938	0	0	0	0	0.222	0.050	0.529	0.622	0.851
ARC	FOSB	9606.ENSP00000349022	9606.ENSP00000245919	0	0	0	0	0.278	0.045	0.500	0.295	0.725
ARF6	RALA	9606.ENSP00000298316	9606.ENSP00000005257	0	0	0	0	0.093	0.378	0	0.547	0.722
ARF6	EEA1	9606.ENSP00000298316	9606.ENSP00000317955	0	0	0	0	0.047	0.058	0	0.713	0.720
ARF6	EHD1	9606.ENSP00000298316	9606.ENSP00000479153	0	0	0	0	0.044	0.084	0	0.771	0.782
ARF6	RABIF	9606.ENSP00000298316	9606.ENSP00000356231	0	0	0	0	0.068	0.070	0	0.772	0.785
ARF6	ARFGAP1	9606.ENSP00000298316	9606.ENSP00000314615	0	0	0	0	0.042	0.129	0.700	0.615	0.890
ARF6	PLD1	9606.ENSP00000298316	9606.ENSP00000342793	0	0	0	0	0.042	0.350	0.900	0.673	0.976
ARFGAP1	ARFGAP3	9606.ENSP00000314615	9606.ENSP00000263245	0	0	0	0.647	0.098	0.719	0.500	0.230	0.889
ARHGAP11A	KIF11	9606.ENSP00000355090	9606.ENSP00000260731	0	0	0	0	0.770	0	0	0.253	0.821
ARHGAP11A	BUB1B	9606.ENSP00000355090	9606.ENSP00000287598	0	0	0	0	0.761	0	0	0.184	0.796
ARHGAP11A	KIF14	9606.ENSP00000355090	9606.ENSP00000356319	0	0	0	0	0.504	0.292	0	0.348	0.751
ARHGAP11A	TOP2A	9606.ENSP00000355090	9606.ENSP00000411532	0	0	0	0	0.720	0	0	0.170	0.758
ARHGAP11A	TTK	9606.ENSP00000355090	9606.ENSP00000358813	0	0	0	0	0.717	0	0	0.226	0.771
ARHGAP11A	ASPM	9606.ENSP00000355090	9606.ENSP00000356379	0	0	0	0	0.743	0.095	0	0.246	0.809
ARHGAP11A	CENPF	9606.ENSP00000355090	9606.ENSP00000355922	0	0	0	0	0.756	0	0	0.254	0.811
ARHGAP11A	MKI67	9606.ENSP00000355090	9606.ENSP00000357643	0	0	0	0	0.761	0	0	0.247	0.812
ARHGEF4	RAC2	9606.ENSP00000316845	9606.ENSP00000249071	0	0	0	0	0	0.302	0.900	0.232	0.941
ARHGEF6	RAC2	9606.ENSP00000250617	9606.ENSP00000249071	0	0	0	0	0.155	0.189	0.900	0.574	0.966
ARHGEF6	RABIF	9606.ENSP00000250617	9606.ENSP00000356231	0	0	0	0	0.055	0	0	0.824	0.826
ARL17A	LRRC37A3	9606.ENSP00000337478	9606.ENSP00000464535	0	0	0	0	0	0.100	0	0.712	0.729
ARL17A	LRRC37A2	9606.ENSP00000337478	9606.ENSP00000459551	0	0	0	0	0.061	0.100	0	0.720	0.742
ARRB1	ARRDC3	9606.ENSP00000409581	9606.ENSP00000265138	0	0	0	0	0	0.292	0	0.781	0.838
ARRB1	PTGER4	9606.ENSP00000409581	9606.ENSP00000302846	0	0	0	0	0.044	0.341	0	0.815	0.873
ARRB1	CXCR2	9606.ENSP00000409581	9606.ENSP00000319635	0	0	0	0	0.081	0.341	0.650	0.806	0.953
ARRB1	MAP3K5	9606.ENSP00000409581	9606.ENSP00000351908	0	0	0	0	0.054	0.625	0	0.772	0.912
ARRB1	TFRC	9606.ENSP00000409581	9606.ENSP00000376197	0	0	0	0	0.076	0	0.500	0.581	0.789
ARRB1	KSR1	9606.ENSP00000409581	9606.ENSP00000381958	0	0	0	0	0.049	0.068	0.400	0.586	0.750
ARRB1	ARRB2	9606.ENSP00000409581	9606.ENSP00000403701	0	0	0.052	0.976	0.092	0.781	0.900	0.416	0.986
ARRB1	FZD4	9606.ENSP00000409581	9606.ENSP00000434034	0	0	0	0	0.044	0.102	0.500	0.447	0.731
ARRB2	TGFBR3	9606.ENSP00000403701	9606.ENSP00000212355	0	0	0	0	0	0.046	0	0.744	0.745
ARRB2	ARRDC3	9606.ENSP00000403701	9606.ENSP00000265138	0	0	0	0	0	0.510	0	0.415	0.701
ARRB2	CXCR2	9606.ENSP00000403701	9606.ENSP00000319635	0	0	0	0	0.122	0.108	0.650	0.648	0.890
ARRB2	MAP3K5	9606.ENSP00000403701	9606.ENSP00000351908	0	0	0	0	0.056	0.609	0	0.969	0.987
ARRB2	KSR1	9606.ENSP00000403701	9606.ENSP00000381958	0	0	0	0	0.049	0.068	0.400	0.529	0.716
ARRB2	FZD4	9606.ENSP00000403701	9606.ENSP00000434034	0	0	0	0	0	0.102	0.500	0.628	0.818
ASF1B	MCM5	9606.ENSP00000263382	9606.ENSP00000216122	0	0	0	0	0.517	0	0	0.728	0.863
ASF1B	AURKA	9606.ENSP00000263382	9606.ENSP00000216911	0	0	0	0	0.510	0	0	0.513	0.751
ASF1B	H4C6	9606.ENSP00000263382	9606.ENSP00000244537	0	0	0	0	0.044	0.988	0	0.416	0.993
ASF1B	MCM4	9606.ENSP00000263382	9606.ENSP00000262105	0	0	0	0	0.422	0.622	0	0.654	0.918
ASF1B	BUB1B	9606.ENSP00000263382	9606.ENSP00000287598	0	0	0	0	0.556	0.071	0	0.332	0.700
ASF1B	AURKB	9606.ENSP00000263382	9606.ENSP00000313950	0	0	0	0	0.591	0	0	0.301	0.702
ASF1B	TOP2A	9606.ENSP00000263382	9606.ENSP00000411532	0	0	0	0	0.476	0	0	0.467	0.709
ASF1B	PLK1	9606.ENSP00000263382	9606.ENSP00000300093	0	0	0	0	0.468	0	0	0.504	0.725
ASF1B	CENPF	9606.ENSP00000263382	9606.ENSP00000355922	0	0	0	0	0.357	0	0	0.592	0.726
ASF1B	UBE2C	9606.ENSP00000263382	9606.ENSP00000348838	0	0	0	0	0.634	0.095	0	0.247	0.729
ASF1B	NUSAP1	9606.ENSP00000263382	9606.ENSP00000499238	0	0	0	0	0.554	0	0	0.440	0.739
ASF1B	PBK	9606.ENSP00000263382	9606.ENSP00000428489	0	0	0	0	0.585	0.051	0	0.398	0.743
ASF1B	PIF1	9606.ENSP00000263382	9606.ENSP00000328174	0	0	0	0	0.584	0.256	0	0.274	0.755
ASF1B	FOXM1	9606.ENSP00000263382	9606.ENSP00000342307	0	0	0	0	0.538	0.045	0	0.585	0.801
ASF1B	CDC20	9606.ENSP00000263382	9606.ENSP00000361540	0	0	0	0	0.709	0.087	0	0.329	0.806
ASF1B	BIRC5	9606.ENSP00000263382	9606.ENSP00000301633	0	0	0	0	0.591	0	0	0.548	0.807
ASF1B	RRM2	9606.ENSP00000263382	9606.ENSP00000353770	0	0	0	0	0.496	0.291	0	0.515	0.811
ASF1B	KIF20A	9606.ENSP00000263382	9606.ENSP00000378356	0	0	0	0	0.607	0	0	0.611	0.840
ASF1B	RBBP4	9606.ENSP00000263382	9606.ENSP00000362592	0	0	0	0	0.158	0.699	0	0.431	0.843
ASF1B	H3C3	9606.ENSP00000263382	9606.ENSP00000484658	0	0	0	0	0.122	0.729	0	0.553	0.884
ASF1B	CDAN1	9606.ENSP00000263382	9606.ENSP00000348564	0	0	0	0	0.047	0.722	0	0.617	0.890
ASF1B	MCM7	9606.ENSP00000263382	9606.ENSP00000307288	0	0	0	0	0.393	0.433	0	0.734	0.900
ASF1B	CHAF1A	9606.ENSP00000263382	9606.ENSP00000301280	0	0	0	0	0.353	0.848	0	0.615	0.958
ASF1B	H3-4	9606.ENSP00000263382	9606.ENSP00000355657	0	0	0	0	0.109	0.730	0	0.880	0.968
ASF1B	H3C12	9606.ENSP00000263382	9606.ENSP00000352252	0	0	0	0	0.128	0.882	0	0.894	0.988
ASF1B	H3C13	9606.ENSP00000263382	9606.ENSP00000333277	0	0	0	0	0.109	0.928	0	0.878	0.991
ASF1B	CHAF1B	9606.ENSP00000263382	9606.ENSP00000315700	0	0	0	0	0.221	0.970	0	0.760	0.993
ASF1B	MCM2	9606.ENSP00000263382	9606.ENSP00000265056	0	0	0	0	0.476	0.983	0	0.620	0.996
ASPM	AURKA	9606.ENSP00000356379	9606.ENSP00000216911	0	0	0	0	0.705	0.314	0	0.685	0.930
ASPM	NCAPH	9606.ENSP00000356379	9606.ENSP00000240423	0	0	0	0	0.667	0.099	0	0.579	0.862
ASPM	MND1	9606.ENSP00000356379	9606.ENSP00000240488	0	0	0	0	0.783	0	0	0.085	0.792
ASPM	KIF11	9606.ENSP00000356379	9606.ENSP00000260731	0	0	0	0	0.962	0.079	0	0.714	0.989
ASPM	KIF18A	9606.ENSP00000356379	9606.ENSP00000263181	0	0	0	0	0.791	0.061	0	0.367	0.865
ASPM	PLK4	9606.ENSP00000356379	9606.ENSP00000270861	0	0	0	0	0.651	0.099	0	0.452	0.812
ASPM	NUF2	9606.ENSP00000356379	9606.ENSP00000271452	0	0	0	0	0.944	0	0	0.665	0.980
ASPM	SMC2	9606.ENSP00000356379	9606.ENSP00000286398	0	0	0	0	0.813	0.087	0	0.125	0.838
ASPM	BUB1B	9606.ENSP00000356379	9606.ENSP00000287598	0	0	0	0	0.928	0.111	0	0.628	0.974
ASPM	PLK1	9606.ENSP00000356379	9606.ENSP00000300093	0	0	0	0	0.455	0.091	0	0.451	0.704
ASPM	TPX2	9606.ENSP00000356379	9606.ENSP00000300403	0	0	0	0	0.827	0	0	0.717	0.949
ASPM	BIRC5	9606.ENSP00000356379	9606.ENSP00000301633	0	0	0	0	0.748	0	0	0.540	0.879
ASPM	AURKB	9606.ENSP00000356379	9606.ENSP00000313950	0	0	0	0	0.608	0	0	0.732	0.890
ASPM	SPAG5	9606.ENSP00000356379	9606.ENSP00000323300	0	0	0	0	0.855	0.043	0	0.640	0.945
ASPM	KIF15	9606.ENSP00000356379	9606.ENSP00000324020	0	0	0	0	0.895	0	0	0.743	0.971
ASPM	NCAPD2	9606.ENSP00000356379	9606.ENSP00000325017	0	0	0	0	0.477	0.095	0	0.436	0.710
ASPM	CDCA2	9606.ENSP00000356379	9606.ENSP00000328228	0	0	0	0	0.777	0	0	0.295	0.836
ASPM	KNTC1	9606.ENSP00000356379	9606.ENSP00000328236	0	0	0	0	0.885	0.088	0	0.395	0.931
ASPM	SMC4	9606.ENSP00000356379	9606.ENSP00000341382	0	0	0	0	0.612	0.099	0	0.498	0.809
ASPM	FOXM1	9606.ENSP00000356379	9606.ENSP00000342307	0	0	0	0	0.668	0	0	0.561	0.848
ASPM	UBE2C	9606.ENSP00000356379	9606.ENSP00000348838	0	0	0	0	0.835	0	0	0.673	0.943
ASPM	RRM2	9606.ENSP00000356379	9606.ENSP00000353770	0	0	0	0	0.626	0	0	0.627	0.854
ASPM	CENPF	9606.ENSP00000356379	9606.ENSP00000355922	0	0	0	0	0.938	0	0	0.802	0.987
ASPM	KIF14	9606.ENSP00000356379	9606.ENSP00000356319	0	0	0	0	0.876	0.292	0	0.617	0.963
ASPM	KIF18B	9606.ENSP00000356379	9606.ENSP00000465992	0	0	0	0	0.641	0.061	0	0.271	0.733
ASPM	TK1	9606.ENSP00000356379	9606.ENSP00000468425	0	0	0	0	0.430	0	0	0.601	0.763
ASPM	RACGAP1	9606.ENSP00000356379	9606.ENSP00000404190	0	0	0	0	0.637	0	0	0.460	0.795
ASPM	ZWINT	9606.ENSP00000356379	9606.ENSP00000363055	0	0	0	0	0.527	0	0	0.632	0.818
ASPM	KIF20B	9606.ENSP00000356379	9606.ENSP00000360793	0	0	0	0	0.719	0.048	0	0.376	0.819
ASPM	KIFC1	9606.ENSP00000356379	9606.ENSP00000393963	0	0	0	0	0.659	0.292	0	0.410	0.845
ASPM	PTTG1	9606.ENSP00000356379	9606.ENSP00000377536	0	0	0	0	0.698	0	0	0.574	0.866
ASPM	CKAP2	9606.ENSP00000356379	9606.ENSP00000367276	0	0	0	0	0.796	0	0	0.383	0.869
ASPM	CIT	9606.ENSP00000356379	9606.ENSP00000376306	0	0	0	0	0.747	0	0	0.573	0.887
ASPM	PRC1	9606.ENSP00000356379	9606.ENSP00000377793	0	0	0	0	0.838	0	0	0.532	0.921
ASPM	HJURP	9606.ENSP00000356379	9606.ENSP00000414109	0	0	0	0	0.855	0	0	0.545	0.931
ASPM	NUSAP1	9606.ENSP00000356379	9606.ENSP00000499238	0	0	0	0	0.852	0	0	0.611	0.940
ASPM	PBK	9606.ENSP00000356379	9606.ENSP00000428489	0	0	0	0	0.841	0.046	0	0.703	0.951
ASPM	KIF4A	9606.ENSP00000356379	9606.ENSP00000363524	0	0	0	0	0.900	0	0	0.536	0.952
ASPM	TTK	9606.ENSP00000356379	9606.ENSP00000358813	0	0	0	0	0.912	0	0	0.530	0.957
ASPM	MKI67	9606.ENSP00000356379	9606.ENSP00000357643	0	0	0	0	0.895	0.099	0	0.635	0.962
ASPM	CDC20	9606.ENSP00000356379	9606.ENSP00000361540	0	0	0	0	0.900	0.111	0	0.715	0.972
ASPM	STIL	9606.ENSP00000356379	9606.ENSP00000360944	0	0	0	0	0.477	0.164	0	0.942	0.972
ASPM	KIF20A	9606.ENSP00000356379	9606.ENSP00000378356	0	0	0	0	0.900	0.048	0	0.765	0.975
ASPM	TOP2A	9606.ENSP00000356379	9606.ENSP00000411532	0	0	0	0	0.983	0	0	0.804	0.996
ATAD5	MCM4	9606.ENSP00000313171	9606.ENSP00000262105	0	0	0	0	0.722	0	0	0.172	0.760
ATAD5	CHTF18	9606.ENSP00000313171	9606.ENSP00000262315	0	0	0	0.549	0.316	0.182	0	0.876	0.924
ATAD5	MCM2	9606.ENSP00000313171	9606.ENSP00000265056	0	0	0	0	0.794	0.092	0	0.183	0.834
ATAD5	SMC2	9606.ENSP00000313171	9606.ENSP00000286398	0	0	0	0	0.855	0.110	0	0.102	0.874
ATAD5	CDT1	9606.ENSP00000313171	9606.ENSP00000301019	0	0	0	0	0.715	0.065	0	0.314	0.801
ATAD5	CLSPN	9606.ENSP00000313171	9606.ENSP00000312995	0	0	0	0	0.777	0	0	0.414	0.863
ATAD5	SMC3	9606.ENSP00000313171	9606.ENSP00000354720	0	0	0	0	0.174	0.287	0	0.538	0.704
ATAD5	PIF1	9606.ENSP00000313171	9606.ENSP00000328174	0	0	0	0	0.276	0.115	0	0.623	0.737
ATAD5	TIMELESS	9606.ENSP00000313171	9606.ENSP00000450607	0	0	0	0	0.338	0.298	0	0.491	0.743
ATAD5	PCNA	9606.ENSP00000313171	9606.ENSP00000368458	0	0	0	0	0.251	0.879	0	0.350	0.936
ATAD5	RFC1	9606.ENSP00000313171	9606.ENSP00000371321	0	0	0	0.550	0.141	0.088	0.900	0.387	0.945
ATG7	FOXO3	9606.ENSP00000346437	9606.ENSP00000339527	0	0	0	0	0.060	0.059	0	0.781	0.790
ATG7	BCL2	9606.ENSP00000346437	9606.ENSP00000381185	0	0	0	0	0.057	0.051	0	0.802	0.807
ATG7	GABARAPL1	9606.ENSP00000346437	9606.ENSP00000411256	0	0	0	0	0.109	0.870	0.900	0.998	0.999
ATP6V0A4	ATP6V1B1	9606.ENSP00000308122	9606.ENSP00000234396	0.095	0	0	0	0.431	0.813	0.828	0.990	0.999
ATP6V0A4	ATP6V1A	9606.ENSP00000308122	9606.ENSP00000273398	0.095	0	0	0	0.527	0.966	0.828	0.787	0.999
ATP6V1A	ATP6V1B1	9606.ENSP00000273398	9606.ENSP00000234396	0.111	0	0.247	0.583	0.690	0.955	0.956	0.728	0.999
AUH	OPA3	9606.ENSP00000364883	9606.ENSP00000319817	0	0	0	0	0	0	0	0.874	0.874
AUH	HMGCS1	9606.ENSP00000364883	9606.ENSP00000322706	0.059	0	0	0	0.114	0	0.922	0.250	0.944
AURKA	KIF22	9606.ENSP00000216911	9606.ENSP00000160827	0	0	0	0	0.738	0.094	0	0.234	0.802
AURKA	SMC2	9606.ENSP00000216911	9606.ENSP00000286398	0	0	0	0	0.516	0.224	0	0.273	0.704
AURKA	KIFC1	9606.ENSP00000216911	9606.ENSP00000393963	0	0	0	0	0.513	0	0	0.445	0.718
AURKA	KIF15	9606.ENSP00000216911	9606.ENSP00000324020	0	0	0	0	0.536	0	0	0.431	0.725
AURKA	CDKN1B	9606.ENSP00000216911	9606.ENSP00000228872	0	0	0	0	0	0.627	0	0.333	0.740
AURKA	TTK	9606.ENSP00000216911	9606.ENSP00000358813	0	0	0	0.624	0.676	0.094	0	0.307	0.779
AURKA	ZWINT	9606.ENSP00000216911	9606.ENSP00000363055	0	0	0	0	0.431	0	0	0.642	0.787
AURKA	CCNF	9606.ENSP00000216911	9606.ENSP00000380256	0	0	0	0	0.550	0	0	0.555	0.791
AURKA	PBK	9606.ENSP00000216911	9606.ENSP00000428489	0	0	0	0	0.617	0.067	0	0.462	0.791
AURKA	FOXM1	9606.ENSP00000216911	9606.ENSP00000342307	0	0	0	0	0.498	0.051	0	0.599	0.793
AURKA	SPAG5	9606.ENSP00000216911	9606.ENSP00000323300	0	0	0	0	0.581	0.294	0	0.376	0.800
AURKA	NCAPH	9606.ENSP00000216911	9606.ENSP00000240423	0	0	0	0	0.556	0.246	0	0.490	0.814
AURKA	MYBL2	9606.ENSP00000216911	9606.ENSP00000217026	0	0	0	0	0.399	0.051	0	0.742	0.840
AURKA	NUSAP1	9606.ENSP00000216911	9606.ENSP00000499238	0	0	0	0	0.705	0	0	0.488	0.843
