#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AKT1	SOCS3	9606.ENSP00000451828	9606.ENSP00000330341	0	0	0	0	0	0.103	0.900	0.627	0.963
AKT1	EIF4EBP1	9606.ENSP00000451828	9606.ENSP00000340691	0	0	0	0	0.051	0.630	0.900	0.870	0.994
AKT1	PTPN11	9606.ENSP00000451828	9606.ENSP00000340944	0	0	0	0	0.090	0.138	0.900	0.752	0.978
AKT1	TRADD	9606.ENSP00000451828	9606.ENSP00000341268	0	0	0	0	0.077	0.056	0	0.455	0.483
AKT1	PPP1CC	9606.ENSP00000451828	9606.ENSP00000341779	0	0	0	0	0.063	0.197	0	0.462	0.560
AKT1	JAK1	9606.ENSP00000451828	9606.ENSP00000343204	0	0	0	0.571	0.062	0	0.900	0.706	0.931
AKT1	FAS	9606.ENSP00000451828	9606.ENSP00000347979	0	0	0	0	0	0	0	0.548	0.548
AKT1	CASP8	9606.ENSP00000451828	9606.ENSP00000351273	0	0	0	0	0	0.063	0	0.760	0.766
AKT1	TLR9	9606.ENSP00000451828	9606.ENSP00000353874	0	0	0	0	0	0.168	0	0.514	0.578
AKT1	STAT1	9606.ENSP00000451828	9606.ENSP00000354394	0	0	0	0	0	0.294	0.900	0.702	0.977
AKT1	MTOR	9606.ENSP00000451828	9606.ENSP00000354558	0	0	0	0	0.081	0.904	0.900	0.991	0.999
AKT1	FASLG	9606.ENSP00000451828	9606.ENSP00000356694	0	0	0	0	0	0	0	0.648	0.648
AKT1	IRAK1	9606.ENSP00000451828	9606.ENSP00000358997	0	0	0	0.554	0.090	0.270	0	0.624	0.495
AKT1	CHUK	9606.ENSP00000451828	9606.ENSP00000359424	0	0	0	0.593	0	0.872	0.900	0.898	0.991
AKT1	SRC	9606.ENSP00000451828	9606.ENSP00000362680	0	0	0.391	0.562	0.098	0.683	0.900	0.986	0.985
AKT1	SRPK1	9606.ENSP00000451828	9606.ENSP00000362931	0	0	0	0	0.049	0.081	0	0.523	0.547
AKT1	BAK1	9606.ENSP00000451828	9606.ENSP00000363591	0	0	0	0	0.085	0	0	0.500	0.524
AKT1	DAXX	9606.ENSP00000451828	9606.ENSP00000363668	0	0	0	0	0	0.057	0	0.410	0.420
AKT1	PIK3CD	9606.ENSP00000451828	9606.ENSP00000366563	0	0	0	0	0.064	0.204	0.600	0.820	0.939
AKT1	DDX58	9606.ENSP00000451828	9606.ENSP00000369213	0	0	0	0	0	0.056	0	0.392	0.401
AKT1	IFNB1	9606.ENSP00000451828	9606.ENSP00000369581	0	0	0	0	0	0	0	0.523	0.523
AKT1	AKT2	9606.ENSP00000451828	9606.ENSP00000375892	0	0	0.446	0.981	0.065	0.741	0.900	0.891	0.974
AKT1	BAD	9606.ENSP00000451828	9606.ENSP00000378040	0	0	0	0	0.080	0.884	0.900	0.566	0.994
AKT1	PPP1CB	9606.ENSP00000451828	9606.ENSP00000378769	0	0	0	0	0.063	0.327	0	0.312	0.528
AKT1	RBAK	9606.ENSP00000451828	9606.ENSP00000380120	0	0	0	0	0.055	0.067	0	0.438	0.461
AKT1	BCL2	9606.ENSP00000451828	9606.ENSP00000381185	0	0	0	0	0.062	0	0.900	0.457	0.944
AKT1	RELA	9606.ENSP00000451828	9606.ENSP00000384273	0	0	0	0	0.086	0.056	0	0.720	0.738
AKT1	IL6	9606.ENSP00000451828	9606.ENSP00000385675	0	0	0	0	0.056	0	0	0.829	0.832
AKT1	TNF	9606.ENSP00000451828	9606.ENSP00000398698	0	0	0	0	0	0.056	0	0.826	0.829
AKT1	MYD88	9606.ENSP00000451828	9606.ENSP00000401399	0	0	0	0	0	0.149	0	0.648	0.688
AKT1	PIK3R1	9606.ENSP00000451828	9606.ENSP00000428056	0	0	0	0	0.062	0.700	0.900	0.878	0.996
AKT1	IKBKB	9606.ENSP00000451828	9606.ENSP00000430684	0	0	0	0.601	0	0.784	0.900	0.716	0.983
AKT1	TRAF6	9606.ENSP00000451828	9606.ENSP00000433623	0	0	0	0	0.062	0.592	0.900	0.850	0.993
AKT1	APAF1	9606.ENSP00000451828	9606.ENSP00000448165	0	0	0	0	0.051	0.101	0.900	0.640	0.965
AKT1	B2M	9606.ENSP00000451828	9606.ENSP00000452780	0	0	0	0	0	0	0	0.429	0.429
AKT1	TRAF3	9606.ENSP00000451828	9606.ENSP00000454207	0	0	0	0	0.089	0.099	0	0.468	0.526
AKT1	CCL5	9606.ENSP00000451828	9606.ENSP00000474412	0	0	0	0	0	0	0	0.561	0.561
AKT1	BIRC2	9606.ENSP00000451828	9606.ENSP00000477613	0	0	0	0	0	0.116	0	0.566	0.599
AKT1	IRF3	9606.ENSP00000451828	9606.ENSP00000471896	0	0	0	0	0.046	0.281	0	0.469	0.604
AKT1	SRSF5	9606.ENSP00000451828	9606.ENSP00000452123	0	0	0	0	0	0.056	0	0.681	0.686
AKT1	ITGB3	9606.ENSP00000451828	9606.ENSP00000452786	0	0	0	0	0.081	0.292	0.900	0.581	0.969
AKT1	IKBKG	9606.ENSP00000451828	9606.ENSP00000483825	0	0	0	0	0.076	0.452	0.900	0.509	0.971
AKT2	TSC2	9606.ENSP00000375892	9606.ENSP00000219476	0	0	0	0	0.062	0.292	0.900	0.734	0.980
AKT2	PIK3R2	9606.ENSP00000375892	9606.ENSP00000222254	0	0	0	0	0.063	0.102	0.650	0.660	0.886
AKT2	RHEB	9606.ENSP00000375892	9606.ENSP00000262187	0	0	0	0	0	0.140	0	0.676	0.710
AKT2	PIK3R3	9606.ENSP00000375892	9606.ENSP00000262741	0	0	0	0	0.062	0.102	0.650	0.586	0.861
AKT2	AKT3	9606.ENSP00000375892	9606.ENSP00000263826	0	0	0.444	0.979	0.063	0.057	0.800	0.928	0.813
AKT2	PIK3CA	9606.ENSP00000375892	9606.ENSP00000263967	0	0	0	0	0.064	0.204	0.650	0.790	0.938
AKT2	PML	9606.ENSP00000375892	9606.ENSP00000268058	0	0	0	0	0.062	0.057	0.900	0.074	0.907
AKT2	TP53	9606.ENSP00000375892	9606.ENSP00000269305	0	0	0	0	0	0.056	0.900	0.619	0.960
AKT2	PIK3CB	9606.ENSP00000375892	9606.ENSP00000289153	0	0	0	0	0.064	0.395	0.600	0.810	0.951
AKT2	TSC1	9606.ENSP00000375892	9606.ENSP00000298552	0	0	0	0	0.060	0.243	0.900	0.559	0.964
AKT2	BCL2L1	9606.ENSP00000375892	9606.ENSP00000302564	0	0	0	0	0	0	0.800	0.429	0.881
AKT2	CASP3	9606.ENSP00000375892	9606.ENSP00000311032	0	0	0	0	0.088	0.286	0	0.527	0.666
AKT2	CASP9	9606.ENSP00000375892	9606.ENSP00000330237	0	0	0	0	0	0.063	0.900	0.425	0.941
AKT2	EIF4EBP1	9606.ENSP00000375892	9606.ENSP00000340691	0	0	0	0	0.062	0.703	0	0.558	0.866
AKT2	PTPN11	9606.ENSP00000375892	9606.ENSP00000340944	0	0	0	0	0.090	0.078	0	0.397	0.450
AKT2	MTOR	9606.ENSP00000375892	9606.ENSP00000354558	0	0	0	0	0.062	0.104	0.900	0.785	0.979
AKT2	CHUK	9606.ENSP00000375892	9606.ENSP00000359424	0	0	0	0.601	0	0.213	0.900	0.391	0.929
AKT2	SRC	9606.ENSP00000375892	9606.ENSP00000362680	0	0	0.384	0.563	0.064	0.058	0.650	0.633	0.793
AKT2	PIK3CD	9606.ENSP00000375892	9606.ENSP00000366563	0	0	0	0	0.064	0.395	0.600	0.599	0.897
AKT2	IL6	9606.ENSP00000375892	9606.ENSP00000385675	0	0	0	0	0.049	0	0	0.400	0.405
AKT2	TNF	9606.ENSP00000375892	9606.ENSP00000398698	0	0	0	0	0	0.056	0	0.408	0.418
AKT2	TRAF6	9606.ENSP00000375892	9606.ENSP00000433623	0	0	0	0	0.062	0.163	0	0.322	0.421
AKT2	BCL2	9606.ENSP00000375892	9606.ENSP00000381185	0	0	0	0	0.053	0	0.800	0.197	0.834
AKT2	IKBKG	9606.ENSP00000375892	9606.ENSP00000483825	0	0	0	0	0	0.059	0.800	0.201	0.836
AKT2	IKBKB	9606.ENSP00000375892	9606.ENSP00000430684	0	0	0	0.604	0	0	0.800	0.546	0.841
AKT2	PIK3R1	9606.ENSP00000375892	9606.ENSP00000428056	0	0	0	0	0.069	0.102	0.650	0.728	0.910
AKT2	BAD	9606.ENSP00000375892	9606.ENSP00000378040	0	0	0	0	0.062	0.146	0.900	0.181	0.925
AKT3	TSC2	9606.ENSP00000263826	9606.ENSP00000219476	0	0	0	0	0.057	0.292	0.900	0.784	0.983
AKT3	PIK3R2	9606.ENSP00000263826	9606.ENSP00000222254	0	0	0	0	0.062	0.102	0.650	0.729	0.909
AKT3	RHEB	9606.ENSP00000263826	9606.ENSP00000262187	0	0	0	0	0	0.140	0	0.677	0.710
AKT3	PIK3R3	9606.ENSP00000263826	9606.ENSP00000262741	0	0	0	0	0.062	0.102	0.650	0.707	0.902
AKT3	PTPN11	9606.ENSP00000263826	9606.ENSP00000340944	0	0	0	0	0.090	0.078	0	0.359	0.416
AKT3	EIF4EBP1	9606.ENSP00000263826	9606.ENSP00000340691	0	0	0	0	0.051	0.328	0	0.481	0.640
AKT3	SRC	9606.ENSP00000263826	9606.ENSP00000362680	0	0	0.381	0.564	0.064	0.059	0.650	0.485	0.773
AKT3	CASP3	9606.ENSP00000263826	9606.ENSP00000311032	0	0	0	0	0	0.642	0	0.431	0.788
AKT3	BCL2	9606.ENSP00000263826	9606.ENSP00000381185	0	0	0	0	0.062	0	0.800	0.085	0.813
AKT3	IKBKB	9606.ENSP00000263826	9606.ENSP00000430684	0	0	0	0.602	0	0	0.800	0.309	0.822
AKT3	IKBKG	9606.ENSP00000263826	9606.ENSP00000483825	0	0	0	0	0	0.059	0.800	0.174	0.831
AKT3	PIK3CD	9606.ENSP00000263826	9606.ENSP00000366563	0	0	0	0	0.064	0.204	0.600	0.567	0.853
AKT3	BCL2L1	9606.ENSP00000263826	9606.ENSP00000302564	0	0	0	0	0	0	0.800	0.354	0.865
AKT3	PIK3CB	9606.ENSP00000263826	9606.ENSP00000289153	0	0	0	0	0.064	0.204	0.600	0.699	0.898
AKT3	PIK3R1	9606.ENSP00000263826	9606.ENSP00000428056	0	0	0	0	0.062	0.102	0.650	0.702	0.900
AKT3	PML	9606.ENSP00000263826	9606.ENSP00000268058	0	0	0	0	0	0.057	0.900	0.057	0.903
AKT3	CHUK	9606.ENSP00000263826	9606.ENSP00000359424	0	0	0	0.590	0	0	0.900	0.327	0.912
AKT3	BAD	9606.ENSP00000263826	9606.ENSP00000378040	0	0	0	0	0.062	0.146	0.900	0.217	0.928
AKT3	TSC1	9606.ENSP00000263826	9606.ENSP00000298552	0	0	0	0	0.060	0.243	0.800	0.586	0.933
AKT3	PIK3CA	9606.ENSP00000263826	9606.ENSP00000263967	0	0	0	0	0.064	0.204	0.650	0.784	0.936
AKT3	CASP9	9606.ENSP00000263826	9606.ENSP00000330237	0	0	0	0	0	0.063	0.900	0.402	0.939
AKT3	TP53	9606.ENSP00000263826	9606.ENSP00000269305	0	0	0	0	0.053	0.056	0.900	0.564	0.955
AKT3	MTOR	9606.ENSP00000263826	9606.ENSP00000354558	0	0	0	0	0.062	0.104	0.900	0.649	0.966
ALYREF	NFKB1	9606.ENSP00000421592	9606.ENSP00000226574	0	0	0	0	0.083	0.068	0	0.435	0.475
ALYREF	SRSF9	9606.ENSP00000421592	9606.ENSP00000229390	0	0	0	0	0.306	0.212	0.800	0.257	0.907
ALYREF	SRSF6	9606.ENSP00000421592	9606.ENSP00000244020	0	0	0	0	0.476	0.343	0.800	0.360	0.950
ALYREF	SRSF1	9606.ENSP00000421592	9606.ENSP00000258962	0	0	0.226	0	0.944	0.424	0.800	0.502	0.997
ALYREF	SRSF7	9606.ENSP00000421592	9606.ENSP00000325905	0	0	0	0	0.658	0.270	0.800	0.428	0.967
ALYREF	CHUK	9606.ENSP00000421592	9606.ENSP00000359424	0	0	0	0	0	0	0	0.779	0.779
ALYREF	SRSF3	9606.ENSP00000421592	9606.ENSP00000362820	0	0	0	0	0.921	0	0.800	0.585	0.992
ALYREF	SRSF4	9606.ENSP00000421592	9606.ENSP00000362900	0	0	0	0	0.122	0.343	0.800	0.389	0.920
ALYREF	SRPK1	9606.ENSP00000421592	9606.ENSP00000362931	0	0	0	0	0.072	0.118	0	0.341	0.413
ALYREF	SRSF2	9606.ENSP00000421592	9606.ENSP00000376276	0	0	0.275	0.628	0.187	0.270	0.800	0.682	0.911
ALYREF	NXF3	9606.ENSP00000421592	9606.ENSP00000378504	0	0	0	0	0.065	0.383	0.800	0.419	0.924
ALYREF	IKBKG	9606.ENSP00000421592	9606.ENSP00000483825	0	0	0	0	0	0	0	0.434	0.434
ALYREF	NXF2	9606.ENSP00000421592	9606.ENSP00000485586	0	0	0	0	0.065	0.383	0	0.428	0.641
ALYREF	SRSF5	9606.ENSP00000421592	9606.ENSP00000452123	0	0	0	0	0.178	0.343	0.800	0.340	0.919
ALYREF	NXF2B	9606.ENSP00000421592	9606.ENSP00000484645	0	0	0	0	0.065	0.383	0.800	0.428	0.925
ALYREF	NXF1	9606.ENSP00000421592	9606.ENSP00000436679	0	0	0	0	0.165	0.790	0.800	0.979	0.999
APAF1	TNFRSF1A	9606.ENSP00000448165	9606.ENSP00000162749	0	0	0	0	0	0	0	0.602	0.602
APAF1	NFKBIA	9606.ENSP00000448165	9606.ENSP00000216797	0	0	0	0	0.049	0.078	0	0.414	0.441
APAF1	TRAF2	9606.ENSP00000448165	9606.ENSP00000247668	0	0	0	0	0.062	0.144	0	0.380	0.458
APAF1	IL1B	9606.ENSP00000448165	9606.ENSP00000263341	0	0	0	0	0	0	0	0.420	0.420
APAF1	BIRC3	9606.ENSP00000448165	9606.ENSP00000263464	0	0	0	0	0.063	0.240	0.900	0.546	0.963
APAF1	TP53	9606.ENSP00000448165	9606.ENSP00000269305	0	0	0	0	0	0	0.900	0.752	0.974
APAF1	BAX	9606.ENSP00000448165	9606.ENSP00000293288	0	0	0	0	0.062	0.527	0.900	0.749	0.987
APAF1	FADD	9606.ENSP00000448165	9606.ENSP00000301838	0	0	0	0	0	0	0	0.793	0.794
APAF1	BCL2L1	9606.ENSP00000448165	9606.ENSP00000302564	0	0	0	0	0.062	0.841	0.900	0.989	0.999
APAF1	EIF2AK3	9606.ENSP00000448165	9606.ENSP00000307235	0	0	0	0	0.049	0	0	0.405	0.410
APAF1	CYCS	9606.ENSP00000448165	9606.ENSP00000307786	0	0	0	0	0.065	0.853	0.900	0.995	0.999
APAF1	CASP3	9606.ENSP00000448165	9606.ENSP00000311032	0	0	0	0	0.067	0.651	0.900	0.909	0.996
APAF1	BID	9606.ENSP00000448165	9606.ENSP00000318822	0	0	0	0	0	0	0	0.602	0.602
APAF1	CASP9	9606.ENSP00000448165	9606.ENSP00000330237	0	0	0	0	0	0.987	0.900	0.995	0.999
APAF1	TRADD	9606.ENSP00000448165	9606.ENSP00000341268	0	0	0	0	0.062	0	0	0.612	0.621
APAF1	FAS	9606.ENSP00000448165	9606.ENSP00000347979	0	0	0	0	0	0.381	0	0.669	0.786
APAF1	CASP8	9606.ENSP00000448165	9606.ENSP00000351273	0	0	0	0	0.062	0.503	0	0.891	0.945
APAF1	MTOR	9606.ENSP00000448165	9606.ENSP00000354558	0	0	0	0	0.088	0.066	0	0.391	0.435
APAF1	FASLG	9606.ENSP00000448165	9606.ENSP00000356694	0	0	0	0	0	0	0	0.681	0.681
APAF1	CARD9	9606.ENSP00000448165	9606.ENSP00000360797	0	0	0	0	0	0	0	0.416	0.416
APAF1	BAK1	9606.ENSP00000448165	9606.ENSP00000363591	0	0	0	0	0.062	0.527	0.900	0.610	0.980
APAF1	BCL2	9606.ENSP00000448165	9606.ENSP00000381185	0	0	0	0	0.062	0.527	0.900	0.478	0.973
APAF1	TNF	9606.ENSP00000448165	9606.ENSP00000398698	0	0	0	0	0	0	0	0.625	0.625
APAF1	BIRC2	9606.ENSP00000448165	9606.ENSP00000477613	0	0	0	0	0.063	0.240	0.900	0.634	0.970
B2M	CD74	9606.ENSP00000452780	9606.ENSP00000009530	0	0	0	0	0.331	0	0.360	0.449	0.743
B2M	PIK3R2	9606.ENSP00000452780	9606.ENSP00000222254	0	0	0	0	0.062	0	0.600	0.058	0.615
B2M	CCL2	9606.ENSP00000452780	9606.ENSP00000225831	0	0	0	0	0.062	0	0	0.506	0.516
B2M	IFNG	9606.ENSP00000452780	9606.ENSP00000229135	0	0	0	0	0.082	0	0	0.624	0.641
B2M	HLA-DOA	9606.ENSP00000452780	9606.ENSP00000229829	0	0	0	0.767	0.062	0	0.720	0.218	0.737
B2M	C3	9606.ENSP00000452780	9606.ENSP00000245907	0	0	0	0	0.064	0	0	0.418	0.431
B2M	HLA-F	9606.ENSP00000452780	9606.ENSP00000259951	0	0	0	0.734	0.157	0.918	0.800	0.891	0.988
B2M	TLR2	9606.ENSP00000452780	9606.ENSP00000260010	0	0	0	0	0.117	0	0	0.381	0.430
B2M	IL1B	9606.ENSP00000452780	9606.ENSP00000263341	0	0	0	0	0.111	0	0	0.737	0.757
B2M	PIK3CA	9606.ENSP00000452780	9606.ENSP00000263967	0	0	0	0	0	0	0.900	0.234	0.920
B2M	TP53	9606.ENSP00000452780	9606.ENSP00000269305	0	0	0	0	0	0	0	0.564	0.564
B2M	IFNA1	9606.ENSP00000452780	9606.ENSP00000276927	0	0	0	0	0	0	0	0.505	0.505
B2M	PIK3CB	9606.ENSP00000452780	9606.ENSP00000289153	0	0	0	0	0	0	0.600	0.090	0.620
B2M	PDIA3	9606.ENSP00000452780	9606.ENSP00000300289	0	0	0	0	0.062	0.800	0.900	0.844	0.996
B2M	CASP3	9606.ENSP00000452780	9606.ENSP00000311032	0	0	0	0	0	0	0	0.419	0.419
B2M	CALR	9606.ENSP00000452780	9606.ENSP00000320866	0	0	0	0	0	0.916	0.900	0.985	0.999
B2M	HLA-DQA1	9606.ENSP00000452780	9606.ENSP00000339398	0	0	0	0.787	0.064	0	0.720	0.457	0.751
B2M	JAK1	9606.ENSP00000452780	9606.ENSP00000343204	0	0	0	0	0.076	0	0	0.452	0.472
B2M	TAP1	9606.ENSP00000452780	9606.ENSP00000346206	0	0	0	0	0.214	0.501	0.900	0.604	0.982
B2M	HLA-DRB1	9606.ENSP00000452780	9606.ENSP00000353099	0	0	0	0.775	0.140	0	0.720	0.504	0.776
B2M	STAT1	9606.ENSP00000452780	9606.ENSP00000354394	0	0	0	0	0.194	0	0	0.459	0.546
B2M	HLA-DMA	9606.ENSP00000452780	9606.ENSP00000363976	0	0	0	0	0.142	0	0.720	0.391	0.840
B2M	TAP2	9606.ENSP00000452780	9606.ENSP00000364034	0	0	0	0	0.162	0.281	0.900	0.471	0.963
B2M	HLA-DQA2	9606.ENSP00000452780	9606.ENSP00000364076	0	0	0	0.777	0.091	0	0.540	0.416	0.602
B2M	HLA-DQB1	9606.ENSP00000452780	9606.ENSP00000364080	0	0	0	0.761	0.117	0	0.720	0.539	0.774
B2M	HLA-DRB5	9606.ENSP00000452780	9606.ENSP00000364114	0	0	0	0.772	0.084	0	0.720	0.240	0.745
B2M	SYK	9606.ENSP00000452780	9606.ENSP00000364907	0	0	0	0	0.087	0	0.600	0.218	0.689
B2M	HLA-C	9606.ENSP00000452780	9606.ENSP00000365402	0	0	0	0	0.345	0.981	0.800	0.977	0.999
B2M	HLA-E	9606.ENSP00000452780	9606.ENSP00000365817	0	0	0	0	0.348	0.982	0.800	0.983	0.999
B2M	IFNB1	9606.ENSP00000452780	9606.ENSP00000369581	0	0	0	0	0	0	0	0.459	0.459
B2M	JAK2	9606.ENSP00000452780	9606.ENSP00000371067	0	0	0	0	0.066	0	0	0.457	0.471
B2M	HLA-DRA	9606.ENSP00000452780	9606.ENSP00000378786	0	0	0	0.758	0.181	0	0.720	0.454	0.785
B2M	HLA-A	9606.ENSP00000452780	9606.ENSP00000379873	0	0	0	0	0.314	0.989	0.900	0.949	0.999
B2M	IL6	9606.ENSP00000452780	9606.ENSP00000385675	0	0	0	0	0.062	0	0	0.652	0.659
B2M	HLA-DOB	9606.ENSP00000452780	9606.ENSP00000390020	0	0	0	0.763	0.132	0	0.720	0.134	0.752
B2M	HLA-DPA1	9606.ENSP00000452780	9606.ENSP00000393566	0	0	0	0.815	0.161	0	0.720	0.295	0.767
B2M	TNF	9606.ENSP00000452780	9606.ENSP00000398698	0	0	0	0	0.108	0	0	0.645	0.670
B2M	HLA-DMB	9606.ENSP00000452780	9606.ENSP00000398890	0	0	0	0.775	0.143	0	0.720	0.235	0.761
B2M	HLA-B	9606.ENSP00000452780	9606.ENSP00000399168	0	0	0	0	0.367	0.987	0.800	0.710	0.999
B2M	MYD88	9606.ENSP00000452780	9606.ENSP00000401399	0	0	0	0	0.096	0	0	0.380	0.415
B2M	TAPBP	9606.ENSP00000452780	9606.ENSP00000404833	0	0	0	0	0.160	0.847	0.900	0.925	0.998
B2M	HLA-DPB1	9606.ENSP00000452780	9606.ENSP00000408146	0	0	0	0.804	0.127	0	0.720	0.470	0.767
B2M	HLA-G	9606.ENSP00000452780	9606.ENSP00000412927	0	0	0	0	0.085	0.982	0.800	0.963	0.999
B2M	PIK3R1	9606.ENSP00000452780	9606.ENSP00000428056	0	0	0	0	0.052	0	0.600	0.177	0.660
B2M	IKBKE	9606.ENSP00000452780	9606.ENSP00000464030	0	0	0	0	0.076	0	0	0.431	0.452
B2M	CCL5	9606.ENSP00000452780	9606.ENSP00000474412	0	0	0	0	0.131	0	0	0.456	0.507
BAD	TP53	9606.ENSP00000378040	9606.ENSP00000269305	0	0	0	0	0	0	0	0.640	0.640
BAD	BAX	9606.ENSP00000378040	9606.ENSP00000293288	0	0	0	0	0	0.535	0	0.681	0.845
BAD	BCL2L1	9606.ENSP00000378040	9606.ENSP00000302564	0	0	0	0	0.065	0.932	0.900	0.927	0.999
BAD	CYCS	9606.ENSP00000378040	9606.ENSP00000307786	0	0	0	0	0	0	0.900	0.506	0.948
BAD	CASP3	9606.ENSP00000378040	9606.ENSP00000311032	0	0	0	0	0	0	0.900	0.505	0.948
BAD	BID	9606.ENSP00000378040	9606.ENSP00000318822	0	0	0	0	0	0	0.650	0.661	0.876
BAD	CASP9	9606.ENSP00000378040	9606.ENSP00000330237	0	0	0	0	0	0	0	0.520	0.520
BAD	PPP1CC	9606.ENSP00000378040	9606.ENSP00000341779	0	0	0	0	0.059	0	0	0.427	0.438
BAD	CASP8	9606.ENSP00000378040	9606.ENSP00000351273	0	0	0	0	0.052	0	0	0.473	0.479
BAD	MTOR	9606.ENSP00000378040	9606.ENSP00000354558	0	0	0	0	0	0	0	0.414	0.414
BAD	BAK1	9606.ENSP00000378040	9606.ENSP00000363591	0	0	0	0	0	0.233	0	0.517	0.613
BAD	BCL2	9606.ENSP00000378040	9606.ENSP00000381185	0	0	0	0	0	0.905	0.900	0.559	0.995
